Career;Characteristics;Skills;Talents;Status;,,,,,,,,,,,,,,,,
Halberdier 2;S;Climb, Gamble, Gossip, Intimidate, Outdoor Survival, Perception;Enclosed Fighter, Etiquette (Soldiers), Fearless (any), Strike Mighty Blow;Silver 3;,,,,,,,,
Halberdier 3;I;Intuition, Leadership, Navigation, Ride (Horse) ;Combat Aware, Unshakeable, Stout-hearted, Warleader;Silver 5;,,,,,,,,,,
Halberdier 4;Int;Charm, Lore (Warfare);Inspiring, Public Speaking, Seasoned Traveller, Commanding Presence;Gold 1;,,,,,,,,,,,,
Handgunner 1;Bs, Agi, Dex;Athletics, Consume Alcohol, Cool, Dodge, Endurance, Language (Battle), Melee (Basic), Perception, Play (Flute), Ranged (Blackpowder) ;Accurate Shot, Gunner, Marksman, Sniper ;Silver 1;,,
Handgunner 2;I;Climb, Gamble, Gossip, Intuition, Outdoor Survival,Trade (Gunsmith);Drilled, Etiquette (Soldiers), Fast Shot, Rapid Reload;Silver 3;,,,,,,,,
Handgunner 3;Int;Leadership, Navigation, Ranged (Engineer), Ride (Horse);Combat Aware, Sharpshooter, Sure Shot, Unshakeable;Silver 5;,,,,,,,,,,
Handgunner 4;Wp;Charm, Lore (Warfare) ;Inspiring, Seasoned Traveller, Stout-hearted, Warleader;Gold 1;,,,,,,,,,,,,
Artillerist 1;Bs, I, Int;Animal Care, Cool, Drive, Endurance, Evaluate, Language (Battle), Melee (Basic), Navigation, Perception, Ranged (Blackpowder, Catapult, Crossbow or Engineering);Marksman, Rapid Reload, Strong Back, Warrior Born;Silver 1;
Artillerist 2;T;Consume Alcohol, Gamble, Gossip, Outdoor Survival, Ranged (Blackpowder, Catapult, Crossbow or Engineering), Trade (Carpenter or Gunsmith) ;Crew Commander, Etiquette (Soldiers), Orientation, Sniper;Silver 3;,,,,,,
Artillerist 3;Wp;Intuition, Leadership, Lore (Artillery), Ride (Horse);Combat Aware, Read/Write, Tinker, Unshakeable;Silver 5;,,,,,,,,,,
Artillerist 4;Agi;Charm, Lore (Warfare);Inspiring, Public Speaking, Seasoned Traveller, Stout-hearted;Gold 1;,,,,,,,,,,,,
Camp Follower 1;Ws, Agi, Fel;Charm, Consume Alcohol, Dodge, Entertain (Any), Gossip, Haggle, Melee (Any), Outdoor Survival, Perception, Perform (Dance);Attractive, Beneath Notice, Blather, Dirty Fighting;Brass 1;,,
Camp Follower 2;Int;Athletics, Bribery, Endurance, Gamble, Ranged (Any), Stealth (Rural);Diceman, Etiquette (Soldiers), Rover, Stone Soup;Brass 4;,,,,,,,,
Camp Follower 3;I;Cool, Intimidate, Intuition, Language (Any) ;Seasoned Traveller, Sturdy, Unshakeable, Very Resilient;Silver 1;,,,,,,,,,,
Camp Follower 4;T;Evaluate, Leadership;Inspiring, Public Speaking, Stout-hearted, Strong-Minded;Silver 4;,,,,,,,,,,,,
Cartographer 1;I, Dex, Int;Art (Cartography), Climb, Evaluate, Lore (Geography), Melee (Basic), Navigation, Outdoor Survival, Perception, Ride (Horse), Stealth (Rural) ;Artistic, Orientation, Read/Write, Rover ;Silver 1;,,
Cartographer 2;Agi;Charm, Endurance, Gossip, Haggle, Lore (Heraldry), Trade (Cartographer);Coolheaded, Flee!, Seasoned Traveller, Strider (Any);Silver 3;,,,,,,,,
Cartographer 3;Ws;Intuition, Language (Guilder), Research, Secret Signs (Guilder);Bookish Etiquette (Guilders), Nimble- fingered, Unshakeable;Silver 5;,,,,,,,,,,,
Cartographer 4;Wp;Language (Any), Lore (Any);Dealmaker, Stout-hearted, Master Tradesman (Cartography), Magnum Opus ;Gold 1;,,,,,,,,,,,,
Freelance 1;S, I, Agi;Athletics, Animal Care, Charm Animal, Consume Alcohol, Heal, Gossip, Melee (Cavalry), Outdoor Survival, Ride (Horse), Trade (Farrier) ;Roughrider, Sturdy, Warrior Born, Combat Aware;Silver 1;,,
Freelance 2;Ws;Charm, Cool, Dodge, Endurance, Intimidate, Intuition, Melee (Any);Etiquette (Any), Seasoned Traveller, Strike Mighty Blow, Stone Soup;Silver 2;,,,,,,,
Freelance 3;Wp;Haggle, Gamble, Leadership, Lore (Warfare) ;Combat Master, Stout-hearted, Unshakable, Warleader;Gold 1;,,,,,,,,,,
Freelance 4;Fel;Language (Battle), Lore (Any) ;Luck, Disarm, Iron Will, Inspiring ;Gold 3;,,,,,,,,,,,,
Knight of the Blazing Sun 1;Ws, S, I;Athletics, Animal Care, Charm Animal, Heal, Language (Classical), Lore (Heraldry), Lore (Any), Melee (Basic), Melee (Cavalry), Ride (Horse);Etiquette (any), Read/Write, Roughrider, Warrior Born;Silver 3;,,
Knight of the Blazing Sun 2;Int;Cool, Dodge, Endurance, Intimidate, Language (Battle), Melee (Any), Lore (Warfare);Seasoned Traveller, Savvy, Shieldsman, Strike To Injure;Silver 5;,,,,,,,
Knight of the Blazing Sun 3;Agi;Charm, Ranged (Any), Leadership, Research ;Fearless (Any), Warleader, Disarm, Unshakeable ;Gold 2;,,,,,,,,,,
Knight of the Blazing Sun 4;Fel;Secret Signs (Blazing Sun), Lore (Any);Inspiring, Stout-hearted, Wealthy, Strike Mighty Blow;Gold 4;,,,,,,,,,,,,
Knight of the White Wolf 1;Ws, S, I;Athletics, Animal Care, Charm Animal, Heal, Lore (Heraldry), Melee (Basic), Melee (Cavalry), Outdoor Survival, Ride (Horse), Trade (Farrier) ;Roughrider, Sturdy, Warrior Born, Hardy ;Silver 3;,,
Knight of the White Wolf 2;Agi;Cool, Dodge, Endurance, Intimidate, Language (Battle), Melee (Any);Menacing, Seasoned Traveller, Strike Mighty Blow, Strike to Injure;Silver 5;,,,,,,,,
Knight of the White Wolf 3;Wp;Consume Alcohol, Leadership, Lore (Warfare), Perception;Furious Assault, Unshakable, Fearless (Any), Warleader;Gold 2;,,,,,,,,,,
Knight of the White Wolf 4;T;Lore (Any), Secret Signs (Ulric);Iron Will, Inspiring, Cool-headed, Implacable ;Gold 3;,,,,,,,,,,,,
Knight Panther 1;Ws, S, I;Athletics, Animal Care, Charm Animal, Heal, Lore (Empire), Lore (Heraldry), Melee (Basic), Melee (Cavalry), Ride (Horse), Trade (Farrier);Etiquette (any), Roughrider, Sturdy, Warrior Born ;Silver 3;,,
Knight Panther 2;Agi;Cool, Dodge, Endurance, Intimidate, Language (Battle), Melee (Any);Menacing, Shieldsman, Strike Mighty Blow, Coolheaded;Silver 5;,,,,,,,,
Knight Panther 3;Wp;Charm, Language (Any), Leadership, Lore (Warfare) ;Fearless (Chaos), Stout-hearted, Unshakeable, Warleader;Gold 2;,,,,,,,,,,
Knight Panther 4;Fel;Secret Signs (Knights Panther), Lore (Any) ;Disarm, Inspiring, Iron Will, Strike to Injure ;Gold 4;,,,,,,,,,,,,
Light Cavalry 1;Ws, T, Agi;Animal Care, Dodge, Endurance, Haggle, Heal, Language (Battle), Melee (Basic), Outdoor Survival, Ranged (Throwing), Ride (Horse);Etiquette (Mercenaries), Field Dressing, Flee!, Strong Back;Brass 3;,,
Light Cavalry 2;Bs;Charm, Consume Alcohol, Gamble, Gossip, Melee (Cavalry), Ranged (Bow);Combat Aware, Orientation, Rover, Rough Rider;Silver 2;,,,,,,,,
Light Cavalry 3;Fel;Drive, Intuition, Leadership, Lore (Warfare) ;Combat Reflexes, Rapid Reload, Seasoned Traveller, Trick Riding;Silver 5;,,,,,,,,,,
Light Cavalry 4;Int;Lore (Law or Heraldry), Ranged (Blackpowder) ;Commanding Presence, Dealmaker, Inspiring, War Leader;Gold 1;,,,,,,,,,,,,
Siege Specialist 1;Ws, Bs, S;Athletics, Climb, Consume Alcohol, Endurance, Gamble, Gossip, Language (Battle), Melee (Basic), Outdoor Survival, Ranged (Crossbow);Etiquette (Mercenaries), Marksman, Rapid Reload, Strong Back;Silver 1;,,
Siege Specialist 2;Agi;Intuition, Lore (Engineering), Melee (Two- handed), Perception, Set Trap, Trade (Miner);Enclosed Fighter, Hardy, Orientation, Tunnel Rat;Silver 3;,,,,,,,,
Siege Specialist 3;Int;Leadership, Ranged (Blackpowder, Engineering), Trade (Explosives);Accurate Shot, Craftsman (Explosives), Gunner, Unshakeable;Silver 5;,,,,,,,,,,
Siege Specialist 4;Fel;Haggle, Lore (Law), Ride (Horse);Combat Aware, Master Tradesman (Engineering), Savvy, War Leader;Gold 1;,,,,,,,,,,,
Pikeman 1;Ws, S, T;Athletics, Climb, Consume Alcohol, Dodge, Endurance, Gamble, Language (Battle), Language (Tilean), Melee (Basic), Melee (Polearm);Drilled, Reaction Strike, Very Strong, Warrior Born;Brass 5;,,
Pikeman 2;I;Cool, Gossip, Heal, Intimidate, Lore (Warfare), Outdoor Survival;Diceman, Enclosed Fighter, Etiquette (Mercenaries), Fearless (Cavalry);Silver 1;,,,,,,,,
Pikeman 3;Wp;Haggle, Intuition, Leadership, Perception ;Combat Aware, Combat Reflexes, Field Dressing, Robust;Silver 4;,,,,,,,,,,
Pikeman 4;Fel;Lore (Law), Ride (Horse);Inspiring, Unshakable, Very Resilient, War Leader;Gold 1;,,,,,,,,,,,,
Priest of Myrmidia 1;Ws, Int, Fel;Cool, Dodge, Language (Battle), Leadership, Lore (Warfare), Lore (Theology), Melee (Basic), Melee (Polearm), Perception, Pray;Bless (Myrmidia), Combat Aware, Etiquette (Cultists), Read/Write,;Silver 2;,
Priest of Myrmidia 2;I;Charm, Entertain (Speeches), Heal, Intuition, Melee (Any), Ranged (Any);Drilled, Inspiring, Invoke (Myrmidia), Shieldsman;Silver 3;,,,,,,,,
Priest of Myrmidia 3;Agi;Lore (Any), Melee (Any), Research, Trade (Weaponsmith or Armourer);Bookish, Holy Visions, Pure Soul, Stout- hearted;Silver 4;,,,,,,,,,,
Priest of Myrmidia 4;S;Animal Care, Ride (Horse);Combat Master, Combat Reflexes, Fearless (Any), Warleader;Silver 5;,,,,,,,,,,,,
